StateFIPS,State,WIC participants FY 2009,WIC participants FY 2011,"WIC participants, FY 2012","WIC participants, FY 2013","WIC participants, FY 2014","WIC participants, FY 2015",National School Lunch Program participants FY 2009,National School Lunch Program participants FY 2011,"National School Lunch Program participants, FY 2012","National School Lunch Program participants, FY 2013","National School Lunch Program participants, FY 2014","National School Lunch Program participants, FY 2015",School Breakfast Program participants FY 2009,School Breakfast Program participants FY 2011,"School Breakfast Program participants, FY 2012","School Breakfast Program participants, FY 2013","School Breakfast Program participants, FY 2014","School Breakfast Program participants, FY 2015",Child and Adult Care particpants FY 2009,Child and Adult Care particpants FY 2011,"Child and Adult Care participants, FY 2012","Child and Adult Care participants, FY 2013","Child and Adult Care participants, FY 2014","Child and Adult Care participants, FY 2015",Summer Food particpants FY 2009,Summer Food participants FY 2011,"Summer Food participants, FY 2012","Summer Food participants, FY 2013","Summer Food participants, FY 2014","Summer Food participants, FY 2015","State Population, 2009","State Population, 2010","State Population,  2011","State Population, 2012","State Population,  2013","State Population,  2014","State Population,  2015","State Population,  2016"
39,Ohio,"303,679","281,306","275,627","263,683","250,370","244,201","1,120,056","1,133,772","1,114,371","1,063,939","1,051,279","1,035,551","363,399","396,715","418,371","422,862","428,384","441,117","123,817","124,776","124,905","122,551","118,292","115,520","65,014","61,001","64,450","60,307","51,126","50,719","11,542,645","11,537,968","11,544,951","11,553,031","11,570,808","11,594,163","11,613,423","11,614,373"
40,Oklahoma,"130,064","126,944","123,070","118,552","114,490","112,892","437,660","452,426","446,144","437,992","439,386","440,455","208,249","224,431","227,417","227,754","226,576","225,681","57,028","56,667","54,327","53,632","52,954","53,309","12,826","10,628","11,390","11,315","16,850","16,793","3,687,050","3,760,184","3,791,508","3,815,780","3,850,568","3,878,051","3,911,338","3,923,561"
41,Oregon,"113,248","111,534","111,648","107,859","103,227","98,304","310,817","312,828","307,110","293,387","288,242","294,408","138,831","139,962","142,435","139,697","139,400","142,013","40,901","45,795","46,211","44,570","46,407","48,026","36,567","42,278","40,815","38,653","41,368","39,454","3,825,657","3,838,332","3,871,859","3,899,801","3,930,065","3,970,239","4,028,977","4,093,465"
42,Pennsylvania,"260,879","257,911","253,011","253,258","248,761","245,979","1,150,819","1,153,645","1,127,530","1,066,255","1,040,670","1,035,113","291,249","329,569","343,326","345,082","346,563","355,214","123,430","140,822","163,791","135,342","135,629","145,069","100,190","97,422","103,651","96,893","75,324","78,961","12,604,767","12,717,722","12,742,886","12,764,475","12,773,801","12,787,209","12,802,503","12,784,227"
44,Rhode Island,"25,676","24,501","24,261","23,416","22,139","20,728","79,017","79,006","79,747","77,353","76,867","76,254","23,418","27,664","32,981","32,531","32,832","32,379","9,366","9,453","9,372","9,192","9,515","9,893","6,785","6,820","8,221","8,188","9,612","10,705","1,053,209","1,052,528","1,051,302","1,050,304","1,051,511","1,055,173","1,056,298","1,056,426"
45,South Carolina,"134,753","130,647","130,525","124,287","113,179","114,562","500,742","497,669","492,878","478,054","474,023","483,026","249,443","261,877","272,398","273,443","270,325","266,238","33,541","33,507","33,469","35,514","36,369","39,205","55,205","45,229","56,178","56,172","71,257","66,560","4,561,242","4,637,106","4,679,230","4,723,417","4,774,839","4,832,482","4,896,146","4,961,119"
46,South Dakota,"22,962","22,583","22,153","20,430","19,573","19,474","106,266","108,289","107,367","106,252","107,749","107,332","25,475","27,253","27,503","28,026","28,420","28,962","13,428","14,807","14,751","14,372","14,107","17,892","4,459","4,550","5,518","6,060","5,891","5,891","812,383","816,598","824,082","834,047","844,877","853,175","858,469","865,454"
47,Tennessee,"174,832","161,578","162,775","159,426","153,742","150,116","692,008","697,665","687,452","656,847","649,935","676,703","280,464","310,063","333,403","350,108","361,070","376,866","60,067","65,110","68,258","70,148","68,795","73,977","28,843","28,574","32,434","41,923","48,636","47,959","6,296,254","6,357,436","6,403,353","6,454,914","6,495,978","6,549,352","6,600,299","6,651,194"
48,Texas,"992,454","993,498","969,893","955,072","916,461","886,409","3,254,249","3,401,746","3,374,154","3,314,594","3,322,512","3,379,274","1,528,878","1,744,587","1,786,414","1,818,710","1,864,869","1,902,636","303,520","307,976","351,922","369,515","410,908","474,923","183,501","173,243","176,587","180,355","181,174","139,673","24,782,302","25,253,466","25,674,681","26,060,796","26,448,193","26,956,958","27,469,114","27,862,596"
49,Utah,"72,535","73,049","69,641","66,726","61,259","58,995","337,710","350,494","348,886","331,693","329,701","334,253","66,483","73,494","74,580","74,310","75,078","76,546","28,063","31,285","31,560","32,788","33,196","34,852","16,822","14,777","13,670","13,186","11,015","6,803","2,784,572","2,775,479","2,817,222","2,854,871","2,900,872","2,942,902","2,995,919","3,051,217"
50,Vermont,"17,496","15,913","15,471","14,836","14,227","13,733","54,859","54,919","54,209","51,537","50,500","49,208","21,409","22,633","23,523","22,926","22,934","22,736","7,134","7,630","7,914","9,011","9,808","10,354","2,964","4,131","6,556","6,654","7,577","8,018","621,760","625,909","626,431","625,953","626,630","626,562","626,042","624,594"
